Problem Name,Problem Number,LeetCode URL,Topics,First Solved Date,Last Solved Date,Times Solved,Difficulty,Notes
Longest Substring Without Repeating,3,https://leetcode.com/problems/longest-substring-without-repeating/,Sliding Window,2025-06-23,2025-06-23,1,Medium,
Container With Most Water,11,https://leetcode.com/problems/container-with-most-water/,Two Pointers,2025-06-15,2025-06-15,1,Medium,
Three Sum,15,https://leetcode.com/problems/three-sum/,Two Pointers,2025-06-15,2025-06-15,1,Medium,
Valid Parentheses,20,https://leetcode.com/problems/valid-parentheses/,Stack,2025-06-17,2025-06-17,1,Easy,
Swap Nodes In Pairs,24,https://leetcode.com/problems/swap-nodes-in-pairs/,Linked List,2025-06-25,2025-06-25,1,Medium,
Valid Sudoku,36,https://leetcode.com/problems/valid-sudoku/,Array,2025-06-21,2025-06-28,2,Medium,
Trapping Rain Water,42,https://leetcode.com/problems/trapping-rain-water/,Two Pointers,2025-06-17,2025-06-17,1,Hard,
Climbing Stairs,70,https://leetcode.com/problems/climbing-stairs/,Recursion,2025-06-21,2025-06-21,1,Easy,
Search 2d Matrix,74,https://leetcode.com/problems/search-2d-matrix/,Binary Search,2025-06-23,2025-06-23,1,Medium,
Valid Palindrome,125,https://leetcode.com/problems/valid-palindrome/,Two Pointers,2025-06-15,2025-06-15,1,Easy,
Longest Consecutive Sequence,128,https://leetcode.com/problems/longest-consecutive-sequence/,Array,2025-06-25,2025-06-25,1,Medium,
Reverse Polish Notation,150,https://leetcode.com/problems/reverse-polish-notation/,Stack,2025-06-18,2025-06-18,1,Medium,
Two Sum Sorted,167,https://leetcode.com/problems/two-sum-sorted/,Two Pointers,2025-06-15,2025-06-15,1,Medium,
Product Of Array Except Self,238,https://leetcode.com/problems/product-of-array-except-self/,Array,2025-06-21,2025-06-21,1,Medium,
First Bad Version,278,https://leetcode.com/problems/first-bad-version/,Binary Search,2025-06-25,2025-06-25,1,Easy,
Binary Search,704,https://leetcode.com/problems/binary-search/,Binary Search,2025-06-23,2025-06-23,1,Easy,
Koko Eating Bananas,875,https://leetcode.com/problems/koko-eating-bananas/,Binary Search,2025-06-25,2025-06-25,1,Medium,
Bucket Sort,,https://leetcode.com/problems/bucket-sort/,Sorting,2025-06-23,2025-06-23,1,Medium,
Factorial,,https://leetcode.com/problems/factorial/,Recursion,2025-06-18,2025-06-18,1,Easy,
Fibonacci,,https://leetcode.com/problems/fibonacci/,Recursion,2025-06-22,2025-06-22,1,Easy,
Insertion Sort,,https://leetcode.com/problems/insertion-sort/,Sorting,2025-06-21,2025-06-21,1,Medium,
Merge Sort,,https://leetcode.com/problems/merge-sort/,Sorting,2025-06-22,2025-06-22,1,Medium,
Quick Sort,,https://leetcode.com/problems/quick-sort/,Sorting,2025-06-22,2025-06-22,1,Medium,
Find Minimum In Rotated Sorted Array,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Binary Search,2025-06-26,2025-06-26,1,Medium,
Best Time To Buy Sell Stock,,https://leetcode.com/problems/best-time-to-buy-sell-stock/,Sliding Window,2025-06-28,2025-06-28,1,Easy,
Remove Duplicates In Sorted Array,,https://leetcode.com/problems/remove-duplicates-in-sorted-array/,Array,2025-06-28,2025-06-28,1,Easy,
Remove All Occurrences Of Number In Place,,https://leetcode.com/problems/remove-all-occurrences-of-number-in-place/,Array,2025-06-28,2025-06-28,1,Easy,
Remove Duplicates In Sorted Array Keeping Last,,https://leetcode.com/problems/remove-duplicates-in-sorted-array-keeping-last/,Array,2025-06-28,2025-06-28,1,Easy,
Generate Parentheses,22,https://leetcode.com/problems/generate-parentheses/,Stack,2025-06-28,2025-06-28,1,Medium,
